n,CRE_cov,CRE_w,LabeledOnly_cov,LabeledOnly_w,BinaryDiff_cov,BinaryDiff_w,PPI_cov,PPI_w,PPIpp_cov,PPIpp_w
10,0.97,0.449,0.946,0.482,0.886,0.57,0.948,0.626,0.938,0.585
20,0.964,0.345,0.96,0.369,0.93,0.419,0.948,0.413,0.942,0.396
40,0.944,0.259,0.942,0.272,0.942,0.309,0.94,0.277,0.918,0.268
80,0.962,0.189,0.952,0.197,0.946,0.22,0.95,0.197,0.948,0.191
