scope,N,subjects,prevalence,AUC,ACC,TPR,TNR
Overall,2116,503,0.3081285444,0.6880143904,0.713610586,0.2653374233,0.9132513661
Age 65-70,291,93,0.2371134021,0.7717391304,0.8350515464,0.4057971014,0.9684684685
