scope,N,subjects,Brier
Overall,2116,503,0.20174052222549416
50-73,737,205,0.18212119463853324
74-79,695,218,0.19582289338550954
80-100,684,204,0.22889285625382666
Age 65-70,291,93,0.13653183098383267
