n,CRE_cov,CRE_w,LabeledOnly_cov,LabeledOnly_w,BinaryDiff_cov,BinaryDiff_w,PPI_cov,PPI_w,PPIpp_cov,PPIpp_w
10,0.98,0.4142933751074455,0.97,0.45737879257737063,0.778,0.3898749999999999,0.902,0.5100461991267565,0.898,0.4782738324254843
20,0.982,0.3064830791132945,0.958,0.3449813869667937,0.928,0.3009325,0.936,0.3418638182866009,0.932,0.3348014422044014
40,0.978,0.2281908835290472,0.958,0.2535262210287414,0.96,0.23489374999999998,0.968,0.23467245292830746,0.956,0.23119602533866793
80,0.986,0.16592594380220657,0.982,0.18233668893190924,0.974,0.166993125,0.976,0.16955146864809623,0.97,0.16644954700257927
