scope,N,subjects,prevalence,AUC,AUC_lo,AUC_hi,AUC_cluster_lo,AUC_cluster_hi,ACC,ACC_lo,ACC_hi,TPR,TPR_lo,TPR_hi,TNR,TNR_lo,TNR_hi,TN,FP,FN,TP
Overall,2116,503,0.30812854442344045,0.6880143903583762,0.6640935681300015,0.712809781902968,0.6430099827602916,0.730239962761572,0.7136105860113422,0.6939751492378204,0.7324718363319928,0.26533742331288346,0.23289368224400614,0.3005301416322153,0.9132513661202186,0.8977302066476777,0.9266095016557986,1337,127,479,173
50-73,737,205,0.2944369063772049,0.7219425735554768,0.6820414396973964,0.7619610394264246,0.6470972977195231,0.786793070341366,0.757123473541384,0.7248825681252756,0.7866978725850887,0.2672811059907834,0.2128228658409688,0.3298354713238657,0.9615384615384616,0.9413415299451787,0.9749662420295847,500,20,159,58
74-79,695,218,0.2906474820143885,0.6996666198059968,0.6547191747598505,0.7427813606692439,0.633335959338448,0.7689479403077724,0.7093525179856115,0.674517493233154,0.7418859647000188,0.2376237623762376,0.18416962298424,0.30087094849589485,0.9026369168356998,0.8732714810824398,0.9257761687298798,445,48,154,48
80-100,684,204,0.3406432748538012,0.6383335077985972,0.5927486756831677,0.6830714662810203,0.5629482916513697,0.7127452460088511,0.6710526315789473,0.6349731637789485,0.7052215089893862,0.2875536480686695,0.2332524471852591,0.3487464119125053,0.8691796008869179,0.8349159396706775,0.8972072947930348,392,59,166,67
Age 65-70,291,93,0.23711340206185566,0.7717391304347827,0.6987739755884916,0.843204578200141,0.6246192150373546,0.8801497413508161,0.8350515463917526,0.7880990779493214,0.8732733110625913,0.4057971014492754,0.29788908641297196,0.523641121651632,0.9684684684684685,0.9363562759657917,0.9846437967672697,215,7,41,28
