n,CRE_cov,CRE_w,LabeledOnly_cov,LabeledOnly_w,BinaryDiff_cov,BinaryDiff_w,PPI_cov,PPI_w,PPIpp_cov,PPIpp_w
10,0.97,0.4492417829277619,0.946,0.48168227321812107,0.886,0.5704899999999999,0.948,0.6263042469419308,0.938,0.5845402261177031
20,0.964,0.34515035718275167,0.96,0.3688994923343532,0.93,0.4188225,0.948,0.4127097420763784,0.942,0.39565314816287106
40,0.944,0.2589478363766195,0.942,0.2724338014075246,0.942,0.30902874999999996,0.94,0.27728166184061853,0.918,0.26798562498618217
80,0.962,0.18932568876849815,0.952,0.1972870618122267,0.946,0.21987874999999998,0.95,0.1967977689998329,0.948,0.1911291242787567
